minute,key,avg_5d,avg_10d
09:35:00,depth01-dot-v2_a_SSE,912.14,556.15
09:45:00,depth01-dot-v2_a_SSE,199.37,195.07
10:00:00,depth01-dot-v2_a_SSE,190.97,186.44
10:15:00,depth01-dot-v2_a_SSE,182.82,179.37
10:30:00,depth01-dot-v2_a_SSE,177.52,173.77
10:45:00,depth01-dot-v2_a_SSE,171.45,168.87
11:00:00,depth01-dot-v2_a_SSE,167.52,164.00
11:15:00,depth01-dot-v2_a_SSE,163.16,160.72
11:30:00,depth01-dot-v2_a_SSE,159.26,156.28
13:00:00,depth01-dot-v2_a_SSE,1425.73,1375.01
13:01:00,depth01-dot-v2_a_SSE,2659.25,2514.62
13:02:00,depth01-dot-v2_a_SSE,142.12,139.01
13:03:00,depth01-dot-v2_a_SSE,140.79,137.52
13:04:00,depth01-dot-v2_a_SSE,140.40,137.36
13:05:00,depth01-dot-v2_a_SSE,138.92,136.33
13:15:00,depth01-dot-v2_a_SSE,138.31,134.12
13:30:00,depth01-dot-v2_a_SSE,133.19,130.22
13:45:00,depth01-dot-v2_a_SSE,132.22,128.19
14:00:00,depth01-dot-v2_a_SSE,130.04,127.37
14:15:00,depth01-dot-v2_a_SSE,129.87,127.32
14:30:00,depth01-dot-v2_a_SSE,129.83,127.15
14:45:00,depth01-dot-v2_a_SSE,130.85,128.69
14:57:00,depth01-dot-v2_a_SSE,134.77,133.53
14:58:00,depth01-dot-v2_a_SSE,133.31,132.07
09:30:00,depth01-dot-v2_a_SZSE,254.80,239.15
09:31:00,depth01-dot-v2_a_SZSE,8958.52,7393.55
09:32:00,depth01-dot-v2_a_SZSE,199.71,112.21
09:33:00,depth01-dot-v2_a_SZSE,24.43,23.35
09:34:00,depth01-dot-v2_a_SZSE,23.43,22.09
09:35:00,depth01-dot-v2_a_SZSE,21.95,20.54
09:45:00,depth01-dot-v2_a_SZSE,17.25,16.93
10:00:00,depth01-dot-v2_a_SZSE,16.53,16.02
10:15:00,depth01-dot-v2_a_SZSE,16.25,15.70
10:30:00,depth01-dot-v2_a_SZSE,16.52,16.29
10:45:00,depth01-dot-v2_a_SZSE,17.11,16.96
11:00:00,depth01-dot-v2_a_SZSE,17.69,17.33
11:15:00,depth01-dot-v2_a_SZSE,18.07,17.73
11:30:00,depth01-dot-v2_a_SZSE,18.34,17.98
13:00:00,depth01-dot-v2_a_SZSE,3337.24,3032.20
13:01:00,depth01-dot-v2_a_SZSE,2115.54,1867.91
13:02:00,depth01-dot-v2_a_SZSE,19.17,18.81
13:03:00,depth01-dot-v2_a_SZSE,19.01,18.70
13:04:00,depth01-dot-v2_a_SZSE,19.01,18.67
13:05:00,depth01-dot-v2_a_SZSE,18.96,18.64
13:15:00,depth01-dot-v2_a_SZSE,18.66,18.30
13:30:00,depth01-dot-v2_a_SZSE,18.13,17.85
13:45:00,depth01-dot-v2_a_SZSE,17.91,17.60
14:00:00,depth01-dot-v2_a_SZSE,17.78,17.47
14:15:00,depth01-dot-v2_a_SZSE,17.93,17.46
14:30:00,depth01-dot-v2_a_SZSE,17.98,17.55
14:45:00,depth01-dot-v2_a_SZSE,17.90,17.47
14:57:00,depth01-dot-v2_a_SZSE,18.08,17.63
14:58:00,depth01-dot-v2_a_SZSE,18.06,17.67
14:59:00,depth01-dot-v2_a_SZSE,18.10,17.70
15:00:00,depth01-dot-v2_a_SZSE,18.05,17.66
09:30:00,depth01-dot-v2_a_test_SSE,304.81,291.02
09:31:00,depth01-dot-v2_a_test_SSE,9621.21,9685.53
09:32:00,depth01-dot-v2_a_test_SSE,20947.42,18307.34
09:33:00,depth01-dot-v2_a_test_SSE,13037.40,8653.69
09:34:00,depth01-dot-v2_a_test_SSE,4994.34,2667.54
09:35:00,depth01-dot-v2_a_test_SSE,912.14,556.15
09:45:00,depth01-dot-v2_a_test_SSE,199.37,195.07
10:00:00,depth01-dot-v2_a_test_SSE,190.97,186.44
10:15:00,depth01-dot-v2_a_test_SSE,182.82,179.37
10:30:00,depth01-dot-v2_a_test_SSE,177.52,173.77
10:45:00,depth01-dot-v2_a_test_SSE,171.45,168.87
11:00:00,depth01-dot-v2_a_test_SSE,167.52,164.00
11:15:00,depth01-dot-v2_a_test_SSE,163.16,160.72
11:30:00,depth01-dot-v2_a_test_SSE,159.26,156.28
13:00:00,depth01-dot-v2_a_test_SSE,1425.73,1375.01
13:01:00,depth01-dot-v2_a_test_SSE,2659.25,2514.62
13:02:00,depth01-dot-v2_a_test_SSE,142.12,139.01
13:03:00,depth01-dot-v2_a_test_SSE,140.79,137.52
13:04:00,depth01-dot-v2_a_test_SSE,140.40,137.36
13:05:00,depth01-dot-v2_a_test_SSE,138.92,136.33
13:15:00,depth01-dot-v2_a_test_SSE,138.31,134.12
13:30:00,depth01-dot-v2_a_test_SSE,133.19,130.22
13:45:00,depth01-dot-v2_a_test_SSE,132.22,128.19
14:00:00,depth01-dot-v2_a_test_SSE,130.04,127.37
14:15:00,depth01-dot-v2_a_test_SSE,129.87,127.32
14:30:00,depth01-dot-v2_a_test_SSE,129.83,127.15
14:45:00,depth01-dot-v2_a_test_SSE,130.85,128.69
14:57:00,depth01-dot-v2_a_test_SSE,134.77,133.53
14:58:00,depth01-dot-v2_a_test_SSE,133.31,132.07
09:30:00,depth01-dot-v2_a_test_SZSE,254.80,239.15
09:31:00,depth01-dot-v2_a_test_SZSE,8958.52,7393.55
09:32:00,depth01-dot-v2_a_test_SZSE,199.71,112.21
09:33:00,depth01-dot-v2_a_test_SZSE,24.43,23.35
09:34:00,depth01-dot-v2_a_test_SZSE,23.43,22.09
09:35:00,depth01-dot-v2_a_test_SZSE,21.95,20.54
09:45:00,depth01-dot-v2_a_test_SZSE,17.25,16.93
10:00:00,depth01-dot-v2_a_test_SZSE,16.53,16.02
10:15:00,depth01-dot-v2_a_test_SZSE,16.25,15.70
10:30:00,depth01-dot-v2_a_test_SZSE,16.52,16.29
10:45:00,depth01-dot-v2_a_test_SZSE,17.11,16.96
11:00:00,depth01-dot-v2_a_test_SZSE,17.69,17.33
11:15:00,depth01-dot-v2_a_test_SZSE,18.07,17.73
11:30:00,depth01-dot-v2_a_test_SZSE,18.34,17.98
13:00:00,depth01-dot-v2_a_test_SZSE,3337.24,3032.20
13:01:00,depth01-dot-v2_a_test_SZSE,2115.54,1867.91
13:02:00,depth01-dot-v2_a_test_SZSE,19.17,18.81
13:03:00,depth01-dot-v2_a_test_SZSE,19.01,18.70
13:04:00,depth01-dot-v2_a_test_SZSE,19.01,18.67
13:05:00,depth01-dot-v2_a_test_SZSE,18.96,18.64
13:15:00,depth01-dot-v2_a_test_SZSE,18.66,18.30
13:30:00,depth01-dot-v2_a_test_SZSE,18.13,17.85
13:45:00,depth01-dot-v2_a_test_SZSE,17.91,17.60
14:00:00,depth01-dot-v2_a_test_SZSE,17.78,17.47
14:15:00,depth01-dot-v2_a_test_SZSE,17.93,17.46
14:30:00,depth01-dot-v2_a_test_SZSE,17.98,17.55
14:45:00,depth01-dot-v2_a_test_SZSE,17.90,17.47
14:57:00,depth01-dot-v2_a_test_SZSE,18.08,17.63
14:58:00,depth01-dot-v2_a_test_SZSE,18.06,17.67
14:59:00,depth01-dot-v2_a_test_SZSE,18.10,17.70
15:00:00,depth01-dot-v2_a_test_SZSE,18.05,17.66
09:30:00,depth01-dot-v2_cb_SSE,198.67,204.12
09:31:00,depth01-dot-v2_cb_SSE,284.08,275.22
09:32:00,depth01-dot-v2_cb_SSE,127.89,123.12
09:33:00,depth01-dot-v2_cb_SSE,120.12,117.92
09:34:00,depth01-dot-v2_cb_SSE,119.43,116.71
09:35:00,depth01-dot-v2_cb_SSE,116.67,113.65
09:45:00,depth01-dot-v2_cb_SSE,110.47,110.00
10:00:00,depth01-dot-v2_cb_SSE,109.83,108.05
10:15:00,depth01-dot-v2_cb_SSE,108.05,106.49
10:30:00,depth01-dot-v2_cb_SSE,108.44,107.62
10:45:00,depth01-dot-v2_cb_SSE,108.82,107.85
11:00:00,depth01-dot-v2_cb_SSE,111.19,109.87
11:15:00,depth01-dot-v2_cb_SSE,111.54,112.78
11:30:00,depth01-dot-v2_cb_SSE,117.45,121.50
13:00:00,depth01-dot-v2_cb_SSE,495.32,466.91
13:01:00,depth01-dot-v2_cb_SSE,219.95,218.88
13:02:00,depth01-dot-v2_cb_SSE,111.43,131.17
13:03:00,depth01-dot-v2_cb_SSE,111.30,129.86
13:04:00,depth01-dot-v2_cb_SSE,110.26,125.13
13:05:00,depth01-dot-v2_cb_SSE,109.12,123.75
13:15:00,depth01-dot-v2_cb_SSE,109.03,120.99
13:30:00,depth01-dot-v2_cb_SSE,106.61,119.33
13:45:00,depth01-dot-v2_cb_SSE,108.34,113.17
14:00:00,depth01-dot-v2_cb_SSE,106.29,110.85
14:15:00,depth01-dot-v2_cb_SSE,106.78,109.32
14:30:00,depth01-dot-v2_cb_SSE,106.51,107.97
14:45:00,depth01-dot-v2_cb_SSE,109.15,109.14
14:57:00,depth01-dot-v2_cb_SSE,7530.67,6925.63
14:58:00,depth01-dot-v2_cb_SSE,108.22,107.23
14:59:00,depth01-dot-v2_cb_SSE,111.06,108.78
15:00:00,depth01-dot-v2_cb_SSE,107.52,105.51
09:30:00,depth01-dot-v2_cb_SZSE,207.34,190.75
09:31:00,depth01-dot-v2_cb_SZSE,8112.26,6606.73
09:32:00,depth01-dot-v2_cb_SZSE,243.81,134.50
09:33:00,depth01-dot-v2_cb_SZSE,24.67,23.66
09:34:00,depth01-dot-v2_cb_SZSE,23.75,22.49
09:35:00,depth01-dot-v2_cb_SZSE,22.37,20.88
09:45:00,depth01-dot-v2_cb_SZSE,17.43,17.12
10:00:00,depth01-dot-v2_cb_SZSE,16.68,16.15
10:15:00,depth01-dot-v2_cb_SZSE,16.28,15.74
10:30:00,depth01-dot-v2_cb_SZSE,16.55,16.34
10:45:00,depth01-dot-v2_cb_SZSE,17.18,17.01
11:00:00,depth01-dot-v2_cb_SZSE,17.76,17.38
11:15:00,depth01-dot-v2_cb_SZSE,18.11,17.78
11:30:00,depth01-dot-v2_cb_SZSE,18.39,18.05
13:00:00,depth01-dot-v2_cb_SZSE,3232.72,2895.86
13:01:00,depth01-dot-v2_cb_SZSE,1458.58,1237.67
13:02:00,depth01-dot-v2_cb_SZSE,19.26,18.84
13:03:00,depth01-dot-v2_cb_SZSE,19.01,18.71
13:04:00,depth01-dot-v2_cb_SZSE,19.03,18.70
13:05:00,depth01-dot-v2_cb_SZSE,19.00,18.68
13:15:00,depth01-dot-v2_cb_SZSE,18.71,18.32
13:30:00,depth01-dot-v2_cb_SZSE,18.20,17.88
13:45:00,depth01-dot-v2_cb_SZSE,17.94,17.61
14:00:00,depth01-dot-v2_cb_SZSE,17.83,17.56
14:15:00,depth01-dot-v2_cb_SZSE,17.97,17.49
14:30:00,depth01-dot-v2_cb_SZSE,18.02,17.59
14:45:00,depth01-dot-v2_cb_SZSE,17.94,17.51
14:57:00,depth01-dot-v2_cb_SZSE,18.05,17.59
14:58:00,depth01-dot-v2_cb_SZSE,18.19,17.76
14:59:00,depth01-dot-v2_cb_SZSE,18.22,17.86
15:00:00,depth01-dot-v2_cb_SZSE,18.24,17.91
09:30:00,depth01-dot-v2_cb_test_SSE,198.67,204.12
09:31:00,depth01-dot-v2_cb_test_SSE,284.08,275.22
09:32:00,depth01-dot-v2_cb_test_SSE,127.89,123.12
09:33:00,depth01-dot-v2_cb_test_SSE,120.12,117.92
09:34:00,depth01-dot-v2_cb_test_SSE,119.43,116.71
09:35:00,depth01-dot-v2_cb_test_SSE,116.67,113.65
09:45:00,depth01-dot-v2_cb_test_SSE,110.47,110.00
10:00:00,depth01-dot-v2_cb_test_SSE,109.83,108.05
10:15:00,depth01-dot-v2_cb_test_SSE,108.05,106.49
10:30:00,depth01-dot-v2_cb_test_SSE,108.44,107.62
10:45:00,depth01-dot-v2_cb_test_SSE,108.82,107.85
11:00:00,depth01-dot-v2_cb_test_SSE,111.19,109.87
11:15:00,depth01-dot-v2_cb_test_SSE,111.54,112.78
11:30:00,depth01-dot-v2_cb_test_SSE,117.45,121.50
13:00:00,depth01-dot-v2_cb_test_SSE,495.32,466.91
13:01:00,depth01-dot-v2_cb_test_SSE,219.95,218.88
13:02:00,depth01-dot-v2_cb_test_SSE,111.43,131.17
13:03:00,depth01-dot-v2_cb_test_SSE,111.30,129.86
13:04:00,depth01-dot-v2_cb_test_SSE,110.26,125.13
13:05:00,depth01-dot-v2_cb_test_SSE,109.12,123.75
13:15:00,depth01-dot-v2_cb_test_SSE,109.03,120.99
13:30:00,depth01-dot-v2_cb_test_SSE,106.61,119.33
13:45:00,depth01-dot-v2_cb_test_SSE,108.34,113.17
14:00:00,depth01-dot-v2_cb_test_SSE,106.29,110.85
14:15:00,depth01-dot-v2_cb_test_SSE,106.78,109.32
14:30:00,depth01-dot-v2_cb_test_SSE,106.51,107.97
14:45:00,depth01-dot-v2_cb_test_SSE,109.15,109.14
14:57:00,depth01-dot-v2_cb_test_SSE,7530.67,6925.63
14:58:00,depth01-dot-v2_cb_test_SSE,108.22,107.23
14:59:00,depth01-dot-v2_cb_test_SSE,111.06,108.78
15:00:00,depth01-dot-v2_cb_test_SSE,107.52,105.51
09:30:00,depth01-dot-v2_cb_test_SZSE,207.34,190.75
09:31:00,depth01-dot-v2_cb_test_SZSE,8112.26,6606.73
09:32:00,depth01-dot-v2_cb_test_SZSE,243.81,134.50
09:33:00,depth01-dot-v2_cb_test_SZSE,24.67,23.66
09:34:00,depth01-dot-v2_cb_test_SZSE,23.75,22.49
09:35:00,depth01-dot-v2_cb_test_SZSE,22.37,20.88
09:45:00,depth01-dot-v2_cb_test_SZSE,17.43,17.12
10:00:00,depth01-dot-v2_cb_test_SZSE,16.68,16.15
10:15:00,depth01-dot-v2_cb_test_SZSE,16.28,15.74
10:30:00,depth01-dot-v2_cb_test_SZSE,16.55,16.34
10:45:00,depth01-dot-v2_cb_test_SZSE,17.18,17.01
11:00:00,depth01-dot-v2_cb_test_SZSE,17.76,17.38
11:15:00,depth01-dot-v2_cb_test_SZSE,18.11,17.78
11:30:00,depth01-dot-v2_cb_test_SZSE,18.39,18.05
13:00:00,depth01-dot-v2_cb_test_SZSE,3232.72,2895.86
13:01:00,depth01-dot-v2_cb_test_SZSE,1458.58,1237.67
13:02:00,depth01-dot-v2_cb_test_SZSE,19.26,18.84
13:03:00,depth01-dot-v2_cb_test_SZSE,19.01,18.71
13:04:00,depth01-dot-v2_cb_test_SZSE,19.03,18.70
13:05:00,depth01-dot-v2_cb_test_SZSE,19.00,18.68
13:15:00,depth01-dot-v2_cb_test_SZSE,18.71,18.32
13:30:00,depth01-dot-v2_cb_test_SZSE,18.20,17.88
13:45:00,depth01-dot-v2_cb_test_SZSE,17.94,17.61
14:00:00,depth01-dot-v2_cb_test_SZSE,17.83,17.56
14:15:00,depth01-dot-v2_cb_test_SZSE,17.97,17.49
14:30:00,depth01-dot-v2_cb_test_SZSE,18.02,17.59
14:45:00,depth01-dot-v2_cb_test_SZSE,17.94,17.51
14:57:00,depth01-dot-v2_cb_test_SZSE,18.05,17.59
14:58:00,depth01-dot-v2_cb_test_SZSE,18.19,17.76
14:59:00,depth01-dot-v2_cb_test_SZSE,18.22,17.86
15:00:00,depth01-dot-v2_cb_test_SZSE,18.24,17.91
09:30:00,depth01-dot-v2_etf_SSE,305.66,291.60
09:31:00,depth01-dot-v2_etf_SSE,9113.87,9258.64
09:32:00,depth01-dot-v2_etf_SSE,20872.80,18066.39
09:33:00,depth01-dot-v2_etf_SSE,12839.88,8578.17
09:34:00,depth01-dot-v2_etf_SSE,4931.74,2622.88
09:35:00,depth01-dot-v2_etf_SSE,941.99,568.82
09:45:00,depth01-dot-v2_etf_SSE,194.54,190.11
10:00:00,depth01-dot-v2_etf_SSE,185.99,180.95
10:15:00,depth01-dot-v2_etf_SSE,179.43,174.07
10:30:00,depth01-dot-v2_etf_SSE,173.58,169.76
10:45:00,depth01-dot-v2_etf_SSE,169.12,165.24
11:00:00,depth01-dot-v2_etf_SSE,164.74,161.29
11:15:00,depth01-dot-v2_etf_SSE,161.64,157.98
11:30:00,depth01-dot-v2_etf_SSE,156.77,153.04
13:00:00,depth01-dot-v2_etf_SSE,1415.07,1367.69
13:01:00,depth01-dot-v2_etf_SSE,2274.61,2115.74
13:02:00,depth01-dot-v2_etf_SSE,139.53,137.17
13:03:00,depth01-dot-v2_etf_SSE,139.62,136.91
13:04:00,depth01-dot-v2_etf_SSE,138.86,136.56
13:05:00,depth01-dot-v2_etf_SSE,137.84,135.83
13:15:00,depth01-dot-v2_etf_SSE,137.55,133.88
13:30:00,depth01-dot-v2_etf_SSE,133.02,130.23
13:45:00,depth01-dot-v2_etf_SSE,132.80,129.28
14:00:00,depth01-dot-v2_etf_SSE,131.46,128.23
14:15:00,depth01-dot-v2_etf_SSE,130.75,128.00
14:30:00,depth01-dot-v2_etf_SSE,130.29,127.73
14:45:00,depth01-dot-v2_etf_SSE,131.45,129.03
14:57:00,depth01-dot-v2_etf_SSE,133.98,131.91
14:58:00,depth01-dot-v2_etf_SSE,123.96,123.14
14:59:00,depth01-dot-v2_etf_SSE,122.61,121.88
15:00:00,depth01-dot-v2_etf_SSE,122.68,121.92
09:30:00,depth01-dot-v2_etf_SZSE,221.99,213.24
09:31:00,depth01-dot-v2_etf_SZSE,8926.46,7344.69
09:32:00,depth01-dot-v2_etf_SZSE,180.43,102.31
09:33:00,depth01-dot-v2_etf_SZSE,24.33,23.25
09:34:00,depth01-dot-v2_etf_SZSE,23.38,22.02
09:35:00,depth01-dot-v2_etf_SZSE,22.03,20.52
09:45:00,depth01-dot-v2_etf_SZSE,17.32,16.99
10:00:00,depth01-dot-v2_etf_SZSE,16.57,16.08
10:15:00,depth01-dot-v2_etf_SZSE,16.34,15.82
10:30:00,depth01-dot-v2_etf_SZSE,16.71,16.51
10:45:00,depth01-dot-v2_etf_SZSE,17.22,17.07
11:00:00,depth01-dot-v2_etf_SZSE,17.82,17.47
11:15:00,depth01-dot-v2_etf_SZSE,18.23,17.88
11:30:00,depth01-dot-v2_etf_SZSE,18.45,18.06
13:00:00,depth01-dot-v2_etf_SZSE,3407.72,3089.36
13:01:00,depth01-dot-v2_etf_SZSE,1684.08,1445.00
13:02:00,depth01-dot-v2_etf_SZSE,19.33,18.93
13:03:00,depth01-dot-v2_etf_SZSE,19.12,18.80
13:04:00,depth01-dot-v2_etf_SZSE,19.13,18.80
13:05:00,depth01-dot-v2_etf_SZSE,19.11,18.78
13:15:00,depth01-dot-v2_etf_SZSE,18.74,18.43
13:30:00,depth01-dot-v2_etf_SZSE,18.32,18.02
13:45:00,depth01-dot-v2_etf_SZSE,18.05,17.74
14:00:00,depth01-dot-v2_etf_SZSE,17.92,17.59
14:15:00,depth01-dot-v2_etf_SZSE,18.06,17.59
14:30:00,depth01-dot-v2_etf_SZSE,18.18,17.72
14:45:00,depth01-dot-v2_etf_SZSE,18.02,17.62
14:57:00,depth01-dot-v2_etf_SZSE,18.08,17.63
14:58:00,depth01-dot-v2_etf_SZSE,18.23,17.85
14:59:00,depth01-dot-v2_etf_SZSE,18.10,17.65
15:00:00,depth01-dot-v2_etf_SZSE,18.21,17.80
09:30:00,depth01-merge and gfex_futures_CFFEX,105.13,93.06
09:31:00,depth01-merge and gfex_futures_CFFEX,8272.47,6252.86
09:32:00,depth01-merge and gfex_futures_CFFEX,5450.88,5283.19
09:33:00,depth01-merge and gfex_futures_CFFEX,3876.31,5482.42
09:34:00,depth01-merge and gfex_futures_CFFEX,5541.06,6510.51
09:35:00,depth01-merge and gfex_futures_CFFEX,7059.20,6110.50
09:45:00,depth01-merge and gfex_futures_CFFEX,4968.81,5255.57
10:00:00,depth01-merge and gfex_futures_CFFEX,5235.22,5010.55
10:15:00,depth01-merge and gfex_futures_CFFEX,4794.94,3966.44
10:30:00,depth01-merge and gfex_futures_CFFEX,4445.90,3875.57
10:45:00,depth01-merge and gfex_futures_CFFEX,6043.51,5236.10
11:00:00,depth01-merge and gfex_futures_CFFEX,4551.41,4733.20
11:15:00,depth01-merge and gfex_futures_CFFEX,4802.90,4280.86
11:30:00,depth01-merge and gfex_futures_CFFEX,5209.19,5205.62
13:30:00,depth01-merge and gfex_futures_CFFEX,3890.72,3874.49
13:45:00,depth01-merge and gfex_futures_CFFEX,6264.61,5124.62
14:00:00,depth01-merge and gfex_futures_CFFEX,4943.31,4279.76
14:15:00,depth01-merge and gfex_futures_CFFEX,5588.89,4981.00
14:30:00,depth01-merge and gfex_futures_CFFEX,3176.71,4036.71
14:45:00,depth01-merge and gfex_futures_CFFEX,3690.84,3277.65
14:57:00,depth01-merge and gfex_futures_CFFEX,4209.23,4201.54
14:58:00,depth01-merge and gfex_futures_CFFEX,3768.72,3765.70
14:59:00,depth01-merge and gfex_futures_CFFEX,5521.29,5248.71
15:00:00,depth01-merge and gfex_futures_CFFEX,5095.91,5510.44
09:30:00,depth01-merge and gfex_futures_GFEX,84415.34,75503.59
09:31:00,depth01-merge and gfex_futures_GFEX,93741.86,85696.69
09:32:00,depth01-merge and gfex_futures_GFEX,80905.38,77026.94
09:33:00,depth01-merge and gfex_futures_GFEX,70228.32,74838.53
09:34:00,depth01-merge and gfex_futures_GFEX,85192.34,78362.41
09:35:00,depth01-merge and gfex_futures_GFEX,74886.36,71899.89
09:45:00,depth01-merge and gfex_futures_GFEX,85778.06,74789.51
10:00:00,depth01-merge and gfex_futures_GFEX,72439.76,65673.76
10:15:00,depth01-merge and gfex_futures_GFEX,79886.78,76711.70
10:30:00,depth01-merge and gfex_futures_GFEX,2131.53,2148.23
10:45:00,depth01-merge and gfex_futures_GFEX,74769.92,72675.34
11:00:00,depth01-merge and gfex_futures_GFEX,65317.88,63925.21
11:15:00,depth01-merge and gfex_futures_GFEX,62066.98,65114.97
11:30:00,depth01-merge and gfex_futures_GFEX,82703.26,77143.55
13:30:00,depth01-merge and gfex_futures_GFEX,27325.88,20652.05
13:45:00,depth01-merge and gfex_futures_GFEX,82680.48,75202.48
14:00:00,depth01-merge and gfex_futures_GFEX,69730.72,75955.00
14:15:00,depth01-merge and gfex_futures_GFEX,88053.46,79008.42
14:30:00,depth01-merge and gfex_futures_GFEX,75469.76,65823.54
14:45:00,depth01-merge and gfex_futures_GFEX,58405.06,57816.02
14:57:00,depth01-merge and gfex_futures_GFEX,88585.58,75169.97
14:58:00,depth01-merge and gfex_futures_GFEX,78588.18,73992.39
14:59:00,depth01-merge and gfex_futures_GFEX,68380.18,62508.26
15:00:00,depth01-merge and gfex_futures_GFEX,51254.64,48804.43
09:30:00,depth01-v2_quotation_a_BSE,3194.59,2842.58
09:31:00,depth01-v2_quotation_a_BSE,2800.38,2664.26
09:32:00,depth01-v2_quotation_a_BSE,2715.95,2685.07
09:33:00,depth01-v2_quotation_a_BSE,2773.01,2645.51
09:34:00,depth01-v2_quotation_a_BSE,2735.83,2651.81
09:35:00,depth01-v2_quotation_a_BSE,2767.87,2668.03
09:45:00,depth01-v2_quotation_a_BSE,1996.67,2042.06
10:00:00,depth01-v2_quotation_a_BSE,2756.42,2620.56
10:15:00,depth01-v2_quotation_a_BSE,2159.03,2279.18
10:30:00,depth01-v2_quotation_a_BSE,2868.07,2581.03
10:45:00,depth01-v2_quotation_a_BSE,2458.98,2256.93
11:00:00,depth01-v2_quotation_a_BSE,2793.26,2600.75
11:15:00,depth01-v2_quotation_a_BSE,2619.82,2484.76
11:30:00,depth01-v2_quotation_a_BSE,2232.02,2230.35
13:00:00,depth01-v2_quotation_a_BSE,3263.38,3265.13
13:01:00,depth01-v2_quotation_a_BSE,2321.41,2437.85
13:02:00,depth01-v2_quotation_a_BSE,2318.15,2375.43
13:03:00,depth01-v2_quotation_a_BSE,2171.11,2277.89
13:04:00,depth01-v2_quotation_a_BSE,2162.18,2256.21
13:05:00,depth01-v2_quotation_a_BSE,2175.42,2317.60
13:15:00,depth01-v2_quotation_a_BSE,2774.05,2501.88
13:30:00,depth01-v2_quotation_a_BSE,2057.11,2177.69
13:45:00,depth01-v2_quotation_a_BSE,2773.69,2359.52
14:00:00,depth01-v2_quotation_a_BSE,2279.22,2363.64
14:15:00,depth01-v2_quotation_a_BSE,2753.36,2567.27
14:30:00,depth01-v2_quotation_a_BSE,2644.46,2571.04
14:45:00,depth01-v2_quotation_a_BSE,2196.28,2190.39
14:57:00,depth01-v2_quotation_a_BSE,2633.17,2428.08
14:58:00,depth01-v2_quotation_a_BSE,2735.27,2430.05
14:59:00,depth01-v2_quotation_a_BSE,2865.76,2571.16
15:00:00,depth01-v2_quotation_a_BSE,2871.57,2552.54
09:30:00,dongfangsz02-dot-v2_a_SSE,251.57,257.39
09:31:00,dongfangsz02-dot-v2_a_SSE,9666.72,9690.81
09:32:00,dongfangsz02-dot-v2_a_SSE,21065.30,18216.05
09:33:00,dongfangsz02-dot-v2_a_SSE,12897.15,8476.71
09:34:00,dongfangsz02-dot-v2_a_SSE,5138.53,2762.95
09:35:00,dongfangsz02-dot-v2_a_SSE,875.58,554.11
09:45:00,dongfangsz02-dot-v2_a_SSE,232.87,229.29
10:00:00,dongfangsz02-dot-v2_a_SSE,225.74,222.54
10:15:00,dongfangsz02-dot-v2_a_SSE,222.52,219.35
10:30:00,dongfangsz02-dot-v2_a_SSE,217.55,215.13
