minute,key,avg_5d,avg_10d
09:30:00,depth01-dot-fast-index_highway_index_SSE,5.40,3.80
09:31:00,depth01-dot-fast-index_highway_index_SSE,2.16,2.18
09:32:00,depth01-dot-fast-index_highway_index_SSE,2.32,2.26
09:33:00,depth01-dot-fast-index_highway_index_SSE,2.28,2.12
09:34:00,depth01-dot-fast-index_highway_index_SSE,2.12,1.98
09:35:00,depth01-dot-fast-index_highway_index_SSE,2.08,1.92
09:45:00,depth01-dot-fast-index_highway_index_SSE,1.40,1.16
10:00:00,depth01-dot-fast-index_highway_index_SSE,0.84,0.50
10:15:00,depth01-dot-fast-index_highway_index_SSE,0.64,0.32
10:30:00,depth01-dot-fast-index_highway_index_SSE,1.16,1.00
10:45:00,depth01-dot-fast-index_highway_index_SSE,1.48,1.48
11:00:00,depth01-dot-fast-index_highway_index_SSE,1.96,1.74
11:15:00,depth01-dot-fast-index_highway_index_SSE,2.32,2.12
11:30:00,depth01-dot-fast-index_highway_index_SSE,2.64,2.30
13:00:00,depth01-dot-fast-index_highway_index_SSE,3.36,2.88
13:01:00,depth01-dot-fast-index_highway_index_SSE,3.88,3.74
13:02:00,depth01-dot-fast-index_highway_index_SSE,3.16,3.18
13:03:00,depth01-dot-fast-index_highway_index_SSE,3.16,3.12
13:04:00,depth01-dot-fast-index_highway_index_SSE,3.16,3.12
13:05:00,depth01-dot-fast-index_highway_index_SSE,3.16,3.10
13:15:00,depth01-dot-fast-index_highway_index_SSE,2.72,2.78
13:30:00,depth01-dot-fast-index_highway_index_SSE,2.40,2.26
13:45:00,depth01-dot-fast-index_highway_index_SSE,1.92,1.98
14:00:00,depth01-dot-fast-index_highway_index_SSE,1.88,1.92
14:15:00,depth01-dot-fast-index_highway_index_SSE,2.04,2.04
14:30:00,depth01-dot-fast-index_highway_index_SSE,2.16,2.08
14:45:00,depth01-dot-fast-index_highway_index_SSE,2.12,2.10
14:57:00,depth01-dot-fast-index_highway_index_SSE,2.20,2.20
14:58:00,depth01-dot-fast-index_highway_index_SSE,0.24,0.12
14:59:00,depth01-dot-fast-index_highway_index_SSE,0.50,0.25
09:30:00,depth01-dot-v2_a_SSE,304.81,291.02
09:31:00,depth01-dot-v2_a_SSE,9621.21,9685.53
09:32:00,depth01-dot-v2_a_SSE,20947.42,18307.34
09:33:00,depth01-dot-v2_a_SSE,13037.40,8653.69
09:34:00,depth01-dot-v2_a_SSE,4994.34,2667.54
