Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-merge and gfex,91287.82,123280.59,70255.41,67641.44,81515.74,51382.79,112331.08,80397.1,84648,1321.68,97406.54,73467.95,68869.9,99653.44,no data,no data,no data,no data,no data,no data,no data,43821.46,120490.67,78097.87,87191.08,81480.72,54629.64,106335.97,73931.13,67606.51,51683.26
gfgfex01-nsq and gfex,84503.44,113955.72,65183.64,62939.49,75652.64,46915.38,103680.49,74661.62,78470.9,108.09,90203.49,68889.28,63875.62,91423.59,no data,no data,no data,no data,no data,no data,no data,474.48,112969.33,73189.62,81468,76170.21,51257.18,97798.33,68231.36,62317.36,46896.46
hlsh01-nsq and gfex,16486.58,19068.92,16655.81,17137.44,18240.5,14754.86,19317.03,16897.72,16454.53,214.03,16094.58,16746.5,16519.56,17619.44,no data,no data,no data,no data,no data,no data,no data,6711.5,18857.69,15714.64,19870.94,17572.44,15001.42,15627.08,14299.06,17276,15298.03
