Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-merge and gfex,64974,79458.33,80024.18,100868.87,79728.33,70561.67,74009.92,72923.87,88491.69,2258.63,71458.95,45775.33,101562.13,76333.26,no data,no data,no data,no data,no data,no data,no data,35156.23,82087.15,99713.54,84894.62,105536.59,73622.77,58800.38,67292.64,46168.82,37731.97
gfgfex01-nsq and gfex,59239.82,72350.18,72727.08,91753.33,72453.1,64158.87,68390.69,67906.31,80072.79,2676.53,64630.23,40330.33,87829.74,62684.13,no data,no data,no data,no data,no data,no data,no data,209.48,74040.77,90998.67,78315.77,97805.87,70584.69,53767.38,63296.38,42439.9,33923.62
hlsh01-nsq and gfex,16229,18203.31,18069.78,20358.92,18451.53,17667.25,18026.94,18436.81,19696.67,282.12,18077.92,14335.75,18905.39,18124.47,no data,no data,no data,no data,no data,no data,no data,7154.25,17607.11,18493.25,17037.36,17695.14,16214.58,15474.06,15803.11,15247.42,13357.39
