Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-merge and gfex,94.21,5356.14,3291.86,5301.21,7563.82,9638.46,4528.75,2900.64,1805.29,3279.82,3444.68,7224.44,4922.15,4586.86,no data,no data,no data,no data,no data,no data,no data,4559.93,2445.33,4084.21,6167.36,2946.32,2894.75,3400.18,5282.11,6717.93,4982.3
ft11-merge,94.93,5695.64,3528.39,5536.57,7809.36,9790.25,4828.89,3323.04,2149.04,3381.46,3523.79,7315.7,4937.07,4678.89,no data,no data,no data,no data,no data,no data,no data,4608.78,2456.04,4136.68,6265.29,3033.29,3014.29,3468.25,5325.79,6783.89,4971.48
hb01-hb,75.84,5191.16,3018.8,5033.88,7277.88,9334.96,4373.56,2844.92,1750.44,3043.2,3075.4,6959.42,4775.75,4305.12,no data,no data,no data,no data,no data,no data,no data,4218.67,2132.21,3882.52,5672.44,2662.68,2596.68,3026,4914.28,6290.96,4561.96
hb03-hb,77.44,5234.32,3068.04,5089.64,7313.04,9392.12,4414.56,2890.36,1775.6,3012.32,3118,6939.5,4752.83,4358.52,no data,no data,no data,no data,no data,no data,no data,4263.46,2211.83,3904.8,5688.72,2677.32,2610.84,3036.8,4921.96,6351.72,4573.38
hb05-hb,76.8,5216.48,3058.8,5056.92,7316.52,9365.08,4394.72,2868.8,1767.24,3060.8,3093.4,6982.67,4804.5,4358.92,no data,no data,no data,no data,no data,no data,no data,4262.58,2115.13,3938.44,5650.56,2647.92,2552.88,3041.92,4931.96,6375.8,4519.75
hbsz01-hb,102.04,6535.48,4409.6,6579.48,8805.52,10872.52,5695.72,4079.72,3052.24,4103.08,4081.8,8085.17,5758.04,5650.84,no data,no data,no data,no data,no data,no data,no data,5131,2933.71,4635.44,6366.72,3361.8,3455.08,3998.52,5552.08,6858.44,5187.29
hbsz02-hb,103.04,6560.04,4453.36,6619.76,8838.32,10911.84,5753.64,4110.32,3083.2,4137.36,4127.16,8118.29,5804.04,5697.88,no data,no data,no data,no data,no data,no data,no data,5172.21,2951.88,4660.48,6386.56,3381.16,3497,4060.28,5628,6960.48,5134.54
xtpsh01-merge,89.71,5298.14,3123.79,5147.89,7419.54,9479.86,4491,2992.5,1841.79,3188.89,3244.43,7096.3,4796.11,4409.71,no data,no data,no data,no data,no data,no data,no data,4349.89,2306.67,3989.86,5987.93,2806.93,2728.11,3207.71,5138.21,6635.04,4731.63
xtpsh05-merge,92.36,5334.29,3164.14,5181.75,7449.86,9519.43,4525.57,3040.11,1879.82,3229.54,3282.5,7134.22,4843.67,4413.71,no data,no data,no data,no data,no data,no data,no data,4424.48,2268.93,4007.54,6008.54,2829.18,2757.04,3229.25,5162.86,6654.32,4759.63
xtpsh06-merge,97.36,5335.93,3152.96,5173.11,7450.36,9513.75,4513.75,3010.5,1852.25,3202.14,3245.04,7093.56,4795.56,4403.89,no data,no data,no data,no data,no data,no data,no data,4409.04,2334.85,4002.96,6001.54,2822.89,2742.43,3219.43,5161.18,6649.64,4748.81
xtpsh08-merge,91.29,5323.68,3149.43,5171.86,7444,9520.79,4511.29,3008.86,1849.82,3199.79,3249.39,7101.04,4801.67,4410.29,no data,no data,no data,no data,no data,no data,no data,4406,2336.48,3944.39,6010.11,2829.18,2765.89,3259.21,5168.21,6658.89,4761.81
ztcffex01-merge,92.04,5217.32,3136.96,5177.86,7417.82,9529.89,4486.32,2983.14,1829.39,3102.25,3234.11,7000.96,4702.56,4410.89,no data,no data,no data,no data,no data,no data,no data,4385.07,2301.67,3897.11,6013.32,2819.89,2752.5,3173.25,5083,6574.75,4743.19
