Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-merge and gfex,124.93,9116.61,2815.64,4522.14,6291.71,7092.18,6130.14,8029.18,7469.75,2499.54,3832.61,7693.54,6697.89,3532.32,no data,no data,no data,no data,no data,no data,no data,3472.96,6371.61,5982.14,7677.68,2089.04,4754.82,6947.96,2155.79,3469.5,5098.75
ft11-merge,80.21,9401.36,2962.32,4665.86,6416.21,7229.68,6304.75,8167.43,7663.36,2613.32,3881,7678.75,6665.39,3478.14,no data,no data,no data,no data,no data,no data,no data,3502.78,6466.68,6005.79,7688.75,2113.29,4776.93,7013.75,2217.61,3537.14,5171.89
hb01-hb,120.83,8693.24,2502.88,4168.24,5934.84,6789.44,5853.92,7716.52,7117.8,2254.32,3461.8,7131,6217.48,3096.68,no data,no data,no data,no data,no data,no data,no data,3068.58,6229.92,5783.6,7201,1761.08,4418.96,6668.44,1938.68,3364.76,4880.76
hb03-hb,122.33,8730,2535.6,4208.52,5965.12,6826.76,5900.08,7746.72,7090.32,2300.28,3452,7182,6209.24,3130.92,no data,no data,no data,no data,no data,no data,no data,3126.58,6309.48,5828.56,7278.56,1762.68,4425.84,6670.88,2010.6,3367.72,4879.04
hb05-hb,121,8742.8,2526.08,4199.48,5960.92,6813.8,5891.6,7777.16,7149.24,2299.88,3449.64,7176.36,6201.76,3125.36,no data,no data,no data,no data,no data,no data,no data,3124.25,6305.28,5826.16,7273.96,1759.48,4419.16,6666.28,2006.56,3362.72,4873.12
hbsz01-hb,146.33,10278.2,3945.96,5396.4,7379.4,8010.84,7071.76,8895.2,8323.04,3391.44,4521,8186.84,7245.12,4275.8,no data,no data,no data,no data,no data,no data,no data,3887.63,7064.48,6779.56,8273.44,2744.4,5326.72,7597.56,2565.96,3930.48,5481.4
hbsz02-hb,93.04,10430.52,3967.56,5421.68,7369.72,8031.56,7096.04,8824.64,8344.48,3421.24,4518,8221.44,7295.24,4279.24,no data,no data,no data,no data,no data,no data,no data,3867.92,7144.6,6767.92,8296.6,2789.76,5367.12,7616.24,2589.64,3950.6,5502.36
xtpsh01-merge,212.04,8734.64,2637.71,4329.39,6079.29,6900.57,6019.86,7970.75,7394.93,2394.75,3633.18,7400.29,6449.89,3233.93,no data,no data,no data,no data,no data,no data,no data,3287,6238.25,5784.43,7432.32,1859.82,4549.25,6741.71,2033.5,3345.32,4960.71
xtpsh05-merge,213.39,8787.18,2685.57,4367.75,6118.68,6942.68,6062.04,8007.18,7431.75,2440.32,3567.71,7498.39,6403.36,3274.11,no data,no data,no data,no data,no data,no data,no data,3267.59,6326.89,5803.61,7466.71,1892.25,4579.93,6776.68,2062.32,3371.96,4995.54
xtpsh06-merge,213.25,8783.54,2684.32,4365.5,6118.57,6943.57,6058.04,8010.86,7392.04,2361.14,3578.71,7438.07,6411.18,3247.39,no data,no data,no data,no data,no data,no data,no data,3317.78,6280.54,5843.25,7482.5,1916.61,4606.64,6774.39,2117.89,3357.79,4983.75
xtpsh08-merge,213.18,8763.93,2624.57,4356,6056.93,6920.11,6027.64,7890.46,7377.79,2345.36,3652.68,7439.79,6408.96,3233.25,no data,no data,no data,no data,no data,no data,no data,3303.85,6258.36,5809.46,7457.14,1886.46,4575.89,6768.82,2057.96,3369.11,4992.32
ztcffex01-merge,211.82,8693.29,2582.96,4252.46,6008.68,6841.36,5966.36,7800.71,7307.93,2283.75,3576.46,7367.25,6360.64,3180.43,no data,no data,no data,no data,no data,no data,no data,3259.52,6205.29,5762.54,7396.54,1850.46,4529.32,6714.11,2001.43,3313.5,4932.89
