Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-dot-v2,260.79,10439.05,26645.18,16544.1,777.75,195.17,185.13,169.77,165.33,162.74,158.76,153.88,150.82,138.98,1412.35,1495.4,129.79,131.57,131.92,130.93,130.86,125.42,122.34,125.53,123.9,123.18,124.08,121.79,115.52,114.53,116.39
dongfangsz02-dot-v2,482,10307.02,26909.01,15798.74,869.26,230.71,223.87,207.1,206.11,207.91,199.49,198.73,201.47,194.05,869.08,1589.27,201.01,202.11,203.6,205,204.62,201.81,204.23,207.4,209.18,201.8,211.58,208.48,196.92,195.01,195.54
ft100-dot-v2,293.6,10335.3,26904.91,16798.08,822.5,195.48,186.59,171.53,166.96,163.87,159.04,151.47,150.84,138.53,879.44,1482.18,128.82,129.94,131.64,130.25,129.49,125.39,122.68,125.09,124.95,123.11,124.11,122.24,115.24,114.37,115.9
ft11-dot-v2,241.62,10397.33,26927.85,16700.51,805.9,197.1,187.36,172.19,167.18,164.25,160.14,154.79,151.78,139.09,1377.81,1496.04,129.44,131.28,131.67,130.89,131.16,125.63,123.21,126.32,124.66,124.13,125.01,122.85,116.64,115.77,117.73
gfsz01-dot-v2,326.93,10372.68,26937.16,16741.08,831.51,217.81,209.6,189.68,184.27,178.32,174.18,166.2,164.16,151.35,1170.24,1511.71,142.86,143.57,145.05,145.13,144.18,139.37,136.1,140.11,139.9,137.88,140.71,137.35,127.96,127.25,129.2
guoxinsz03-dot-v2,219.5,10422.39,26943.55,16664.18,803.76,204.35,195.96,179.88,176.37,171.94,167.97,163.4,159.13,147.01,1467.18,1502.83,138.68,139.92,139.77,140,139.75,134.76,132.27,135.59,133.84,133.28,135.76,131.87,124.33,123.53,125.41
guoxinsz03-dot-v5,243.43,10429.36,26633.86,16638.57,798.99,206.87,198,181.49,177.89,173.04,168.72,164.34,159.85,147.59,1492.64,1502.84,139.45,140.43,140.36,140.51,140.21,135.14,132.5,135.95,134.24,133.7,136.26,132.45,124.39,123.55,125.42
guoxinsz04-dot-v2,293.29,10333.98,26920.6,16793.28,829.2,204.77,196.24,180.39,177.17,172.19,168.27,160.96,159.19,147.77,902.54,1491.12,138.86,139.02,140.44,139.97,138.92,134.81,132.82,135.1,135.53,133.48,135.82,132.58,124.27,123.41,124.84
guoxinsz04-dot-v5,295.53,10331.63,26921.76,16815.7,830.88,206.8,197.54,182.01,178.07,172.84,169.07,161.7,159.72,148.1,927.23,1492.06,139.01,139.46,141.01,140.42,139.38,135.12,133.13,135.31,135.79,133.89,136.61,132.98,124.47,123.43,125.05
guoxinsz05-dot-v2,283.68,10263.86,26894.31,15796.85,705.06,201.35,193.57,178.91,174.53,170.97,166.74,159.53,158.76,146.73,621.22,1508.16,137.9,139.29,139.14,139.62,139.11,134.23,132.01,134.59,134.1,132.8,135.18,131.63,123.56,123.15,124.83
guoxinsz05-dot-v5,287.34,10265.68,26895.07,15797.64,703.13,203.11,194.58,179.96,175.46,171.6,167.55,160.09,159.16,147.11,623.1,1508.9,138.22,139.58,139.47,139.93,139.37,134.48,132.21,134.82,134.45,133.05,135.49,131.99,123.58,123.19,124.87
hb01-v16,274.7,10408.65,26858.74,16084.13,719.25,193.29,183.81,168.82,164.53,161.04,156.92,149.12,149.47,136.91,301.79,1495.51,125.45,126.63,129.13,126.55,126.54,122.11,119.7,122.4,121.74,120.36,121.27,120.52,112.18,111.34,113.55
hb02-dot-v2,277.53,10460.23,26690.96,16266.25,730.33,193.68,184.57,170.25,165.87,162.78,158.52,153.27,148.95,137.95,1773,1492.01,127.58,128.22,129.63,128.84,128.51,123.68,121.04,123.83,122.2,122.14,122.79,120.52,113.97,112.72,114.83
hb04-dot-v2,229,10435.34,26662.42,16387.1,756.75,193.85,187.55,172.79,168.79,164.23,160.26,151.86,151.58,138.45,1268.15,1502.58,128.21,129.8,130.51,129.7,129.84,124.37,121.13,124.82,123.11,122.58,123.86,121.28,113.48,112.72,114.97
