Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-merge and gfex,71037.66,77819.85,67046.87,56922.59,53501.74,67767.23,106359.15,66747.82,73277.57,4100.61,49339.91,73087,73499.18,81810.26,no data,no data,no data,no data,no data,no data,no data,2473.08,100672.74,82551.62,101918.74,89747.38,64788.44,98815.72,106929.74,89816.05,51969.77
gfgfex01-nsq and gfex,65035.5,71246,61337.15,52255.43,49050.68,62056.97,97595.62,61182.38,66851.97,3051.19,45232.97,66972.16,66992.49,74146.36,no data,no data,no data,no data,no data,no data,no data,3255.86,92328.97,75406.31,93022.36,82508.49,59569.72,89719.77,97401.87,81431.97,46339.92
hlsh01-nsq and gfex,15942.77,17399.47,17275.19,17440.21,14909.54,16727.83,20140.5,15423.47,14548.97,408.09,14193.41,16036.18,16483.11,16850.67,no data,no data,no data,no data,no data,no data,no data,21.09,16160.81,16582.14,19127.61,16314.06,16414.44,16745.25,17618.92,18312.75,15123.25
