Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-merge and gfex,66337.41,95713.1,66092.56,70325,88146.69,89194.23,68662.56,88957.23,66528.59,1771.96,81765.62,43159.79,42054.51,70210.08,no data,no data,no data,no data,no data,no data,no data,189.23,49347.33,39654.31,56454.56,29263.28,44054.64,59076.77,76931.77,59797.31,47712.56
gfgfex01-nsq and gfex,61267.72,87465.62,60750.67,64401.95,80745.74,75594.51,63712.97,82419.28,60584.49,1255.67,74996.79,39753.44,38820.13,64150.41,no data,no data,no data,no data,no data,no data,no data,1041.73,45988.72,37069.03,52203.62,27331.21,40782.87,54426.15,70936.74,54819.54,42383.92
hlsh01-nsq and gfex,16584.06,17747.69,16092.28,16284.14,18117.83,18965.89,17448.67,18325.19,14613.42,393.88,18413.42,12226.19,14212.36,14888.33,no data,no data,no data,no data,no data,no data,no data,38.47,15865.39,14348.78,12948.64,11566.47,13888.58,14251.56,15619.47,14423.42,14472.39
