Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-merge and gfex,44.43,4336.39,6892.79,8716.75,3622.29,4231.57,8069.25,6894.57,3621.44,4596.11,4516.96,2492.71,3872.72,6197.71,no data,no data,no data,no data,no data,no data,no data,3176.46,5380.78,2801.23,5612.93,7194.96,1965.69,5594.27,3141.14,2606.65,4441.77
ft11-merge,46.21,4505.29,7106.96,8937.61,3626.18,4478.11,8282.96,7054.86,3788.74,4699.86,4696.26,2631.82,3918.68,6217.43,no data,no data,no data,no data,no data,no data,no data,3211.18,5447.81,2864.31,5685.37,7241.48,2021.31,5663.69,3185.54,2732.73,4557.35
hb01-hb,114.16,3972.32,6514.72,8403.76,3252.4,3872.88,7656.2,6799,3481.83,4324.28,4260.42,2303.12,3669.5,5910.84,no data,no data,no data,no data,no data,no data,no data,2960.72,4945.58,2522.17,5355.88,6782.17,1721.96,5301.65,2941.84,2435.52,4216.35
hb03-hb,31.16,4055.24,6609.52,8427.04,3205.16,3964.2,7722.72,6699.88,3523.67,4368.52,4242.88,2276.72,3711.77,5926.4,no data,no data,no data,no data,no data,no data,no data,2942.44,4964,2541.52,5374.83,6798.38,1741.83,5324.65,2959.52,2452.91,4234.91
hb05-hb,115.44,4012.92,6495.32,8420.2,3295.08,3919.28,7707.16,6750.64,3503.83,4341.16,4276.67,2321.56,3685,5925,no data,no data,no data,no data,no data,no data,no data,2974.88,4958.33,2536.7,5334.58,6749.75,1761.04,5340.65,2922.6,2470.87,4248.65
hbsz01-hb,138.76,5470.04,7842.8,9630.44,4719.36,5270.08,8987.04,7891.24,4552.58,5372.92,5126.5,3267.2,4494.27,6891.76,no data,no data,no data,no data,no data,no data,no data,3680.96,5639.88,3298.83,6373.38,7800.88,2657.04,6155.91,3559.32,2995.78,4805.7
hbsz02-hb,56.4,5756.68,7953.68,9785.68,4816.76,5527.72,9029.32,7882.92,4609.67,5550.4,5150.08,3264.72,4638.95,6969.16,no data,no data,no data,no data,no data,no data,no data,3704.48,5760.13,3406.43,6348.46,7712.21,2656.65,6225.43,3519.84,3104.78,4952.87
xtpsh01-merge,31.75,4075.57,6669.61,8463.68,3263.36,4042.75,7888.25,6750.11,3578.52,4535.64,4415,2370.68,3761.92,6073.43,no data,no data,no data,no data,no data,no data,no data,3009.36,5175.52,2572.08,5364.7,6910.22,1774.81,5385.31,2978.61,2514.04,4333.54
xtpsh05-merge,121.68,4097.54,6681.5,8559,3298.5,4024.79,7916.96,6779.29,3614.78,4570.79,4451.67,2395.36,3792.24,6098.14,no data,no data,no data,no data,no data,no data,no data,3021,5192.85,2589.27,5413.74,6988.74,1820.31,5424.77,2967.61,2561.12,4373.69
xtpsh06-merge,121.68,4171.57,6692.14,8564.54,3275.32,4045.36,7897.11,6821.18,3568.3,4514.61,4452.56,2445.04,3761.52,6068.75,no data,no data,no data,no data,no data,no data,no data,3039.68,5198.63,2596.23,5411.22,6994.59,1823.38,5429.19,2970.54,2563.65,4376.04
xtpsh08-merge,120.36,4092.14,6679.14,8557.43,3274.04,4041.11,7903.25,6832.29,3590.44,4545.82,4423.52,2374.39,3765.04,6077.39,no data,no data,no data,no data,no data,no data,no data,3022.18,5192.41,2589.12,5410.07,6992.11,1824.42,5430.19,2970.79,2564.15,4380.54
ztcffex01-merge,31.57,4005.61,6634.71,8533.54,3124.14,3991.21,7837.68,6667.39,3503.93,4476.57,4441.96,2413.57,3701.4,5980.54,no data,no data,no data,no data,no data,no data,no data,2977.32,5191.07,2562.88,5343.96,6910.85,1732.42,5342.27,2917,2449.08,4268.65
