Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-dot-v2,339.41,8549.09,11982.43,310.79,210.78,204.85,191.91,183.9,176.59,173.47,167.55,163.53,160.45,155.84,1384.03,2385.43,133.95,134.44,134.3,131.31,132.01,127.5,129.47,129.89,127.08,126.08,126.53,129.14,119.39,117.79,119.32
dongfangsz02-dot-v2,391.14,8501.49,11476.63,337.52,256.75,239.07,227.77,216.44,215.19,213.26,209.53,209.63,205.43,201.04,919.19,2483.15,211.22,207.98,208.87,207.52,208.1,205.66,208.78,212.08,210.34,208,212.94,222.73,208.41,197.03,196.42
ft100-dot-v2,148,8455.53,11296.34,326,211.61,205.58,193.23,185.55,177.54,172.96,165.98,161.17,156.62,151.98,904.1,2366.71,135.28,135.03,135.95,132.6,133.74,130,130.93,130.68,127.17,125.89,126.08,126.57,118.56,117.01,118.5
ft11-dot-v2,285,8515.48,12024.25,315.12,211.91,205.85,193.72,186.46,178.8,174.77,167.99,163.09,160.19,155.19,1467.09,2365.53,133.5,133.13,134.16,130.91,131.45,128.07,129.99,131.04,127.35,125.98,127.05,129.48,120.32,118.36,120.46
gfsz01-dot-v2,234,8530.63,12033.41,333.63,231.22,224.03,209.29,200.23,192.11,188.49,180.84,175.51,172.12,167.63,1182.38,2425.24,146.24,146.08,145.13,143.48,143.08,140.08,142.17,142.2,138.17,138.08,138.4,141.47,129.9,128.36,130.27
guoxinsz03-dot-v2,300.21,8522.77,12029.14,321.28,220.25,214.23,201.86,194.77,187.67,184.68,177.46,172.78,168.95,164.19,1345.97,2398.7,142.56,142.74,142.17,140.37,140.83,136.63,138.79,139.22,135.69,134.8,135.84,138.24,127.51,125.75,127.44
guoxinsz03-dot-v5,303.93,8527.41,12022.49,322.97,223,216.99,204.21,196.55,189.27,185.7,178.46,173.63,169.75,164.9,1435.13,2390.55,143.29,143.53,143.64,140.76,141.34,137.7,139.37,139.81,136.15,135.25,135.92,138.75,127.55,125.57,127.48
guoxinsz04-dot-v2,300.21,8458.86,11305.08,334.48,220.75,214.84,202.03,194.7,187.87,184.63,177.99,172.84,168.41,164.5,859.87,2389.74,142.88,143.06,143.26,140.23,141.02,137.01,138.99,139.36,135.69,135.22,135.65,137.05,132.87,125.96,127.45
guoxinsz04-dot-v5,302.79,8485.33,11284.35,335.89,223.82,216.8,203.41,196.56,188.81,185.35,178.56,173.38,169.04,164.96,864.89,2389.74,142.79,142.76,143.8,140.74,141.4,137.57,139.55,139.81,136.08,135.57,136.12,137.45,133,125.99,127.46
guoxinsz05-dot-v2,288.59,8428.01,11391.77,286.33,217.35,211.71,200,193.18,186.38,183,176.41,171.88,167.52,163.32,623.78,2413.59,141.86,142.31,141.32,139.63,139.62,136.54,138.45,138.44,135.26,134.2,134.93,137.15,127.43,125.53,127.38
guoxinsz05-dot-v5,293.18,8429.67,11392.53,287.59,219.1,213.31,200.95,194.37,187.31,183.7,176.98,172.59,168.11,163.79,624.76,2414.21,142.23,142.67,141.7,139.97,139.96,136.83,138.74,138.77,135.54,134.53,135.26,137.53,127.46,125.56,127.43
hb01-v16,295.03,8657.9,11487.89,285.25,209.04,201.94,190.06,182.78,175.59,173.17,164.5,159.63,156.53,152.71,367.72,2369.96,131.05,130.82,130.84,128.19,129.31,124.58,127.16,127.78,123.95,122.77,123.4,125.45,121.92,115.09,117.01
hb02-dot-v2,332.86,8563.52,11944.05,305.96,208.2,203.39,191.44,183.38,176.9,172.46,167.32,162.42,159.18,153.72,1842.17,2400.84,131.92,132.59,132.03,130.05,129.65,126.33,128.29,128.47,125.87,124.76,125.65,127.71,122.83,114.6,118.6
hb04-dot-v2,145,8560.37,11895.04,302.35,211.51,204.44,193.14,184.78,177.51,173.53,166.88,161.48,158.52,153.61,1229.95,2399.29,132.08,132.64,131.82,129.57,129.94,126.67,127.94,128.19,125.85,124.69,125.23,127.43,117.23,115.57,118.17
hb04-dot-v5,145,8568.27,11889.19,307.02,217.67,209.46,196.52,187.59,179.34,175.83,168.72,163.52,160.13,155.05,1324.25,2394.28,133.26,133.84,133.67,130.77,131.54,127.49,129.46,129.67,127.02,125.7,126.78,129.37,117.81,115.84,117.94
hb08-dot-v2,141,8504.14,11177.25,312.58,208.31,202.1,190.1,182.92,175.8,172.02,165.59,160.48,157.37,152.53,1129.69,2352.25,130.62,131.55,130.71,128.5,128.63,125.53,127.44,127.6,124.69,123.39,123.98,126.4,117.54,115.59,117.55
hb09-dot-v2,141,8494.86,11241.78,317.25,206.22,200.89,189.11,182.42,175.54,171.79,165.02,160.33,157.14,152.32,1212.27,2402.3,130.58,131.33,130.61,128.39,128.51,125.69,127.22,127.65,124.32,123.47,123.92,125.96,117.59,115.54,117.8
hb09-dot-v5,142,8496.43,11234.76,318.31,208.48,202.49,190.6,184.06,176.34,173.03,165.9,161.42,157.91,152.85,1220.01,2402.8,130.96,131.79,131.25,128.87,128.92,125.95,127.57,127.99,124.65,123.87,124.24,126.44,117.6,115.55,117.81
hb09-dot-v5_xuxin,145,8427.18,11260.41,325.98,216.28,209.45,195.87,186.39,178.26,174.45,166.77,161.16,157.73,153.15,1202.87,2401.06,132.61,133.23,131.69,129.94,129.76,126.1,127.9,128.29,125.45,124.46,126.16,129.11,114.81,112.85,114.87
hbsz04-dot-v2,154,8507.68,11227.65,326.99,217.5,211.56,199.3,192.04,184.72,181.05,173.88,168.67,165.19,160.71,1123.78,2361.5,138.94,139.82,139.22,136.99,136.9,133.56,135.49,135.85,132.64,131.7,132.01,134.59,125.39,123.62,125.57
hbsz04-dot-v5,154,8495.4,11257.95,332.98,223.25,217.19,203.03,194.41,186.58,182.74,175.27,169.89,166.23,161.66,1126.59,2362.44,140.22,140.88,140.23,138.2,137.7,134.2,136.16,136.48,133.34,132.39,132.85,135.84,125.44,123.69,125.62
hbsz06-dot-v2,150,8495.53,11217.53,324.62,217.98,212.34,199.37,192.11,184.7,181,173.73,168.54,165.13,160.57,1093.37,2360.8,139.22,139.79,139.13,136.59,136.73,133.56,135.44,135.63,132.76,131.66,132.13,134.7,125.4,123.41,125.15
hbsz07-dot-v2,150,8472.06,11282.83,328.09,214.89,209.11,197.39,190.76,184.15,180.16,173.31,168.14,164.7,160.38,1120.8,2360.27,138.44,139.39,138.79,136.29,136.43,133.2,135.17,135.6,132.29,131.52,131.77,133.94,125.36,123.42,125.54
hbsz08-dot-v2,151,8498.43,11250.26,325.85,215.27,209.18,197.76,190.65,183.95,180.4,173.07,168.6,165.03,160.39,1207.89,2410.2,138.41,139.33,138.75,136.28,136.46,133.44,135.08,135.5,132.17,131.44,131.71,133.9,125.36,123.4,125.43
hbsz08-dot-v5,151,8491.7,11251.38,328.44,220.63,213.93,200.71,191.97,185.83,181.84,175.46,169.33,166.12,161.92,1211.82,2411.56,138.89,140.15,139.77,136.63,137.62,133.93,135.53,136.24,132.54,132.01,133.02,134.77,125.4,123.47,125.46
