Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-dot-v2,315.83,9104.85,10338.51,229.5,207.91,206.84,198.86,189.76,175.32,176.25,174.04,168.26,159.21,156.46,1225.77,2659.38,138.38,138.65,140.19,142.19,134.8,131.98,129.74,127.58,124.96,131.26,131.71,132.27,125.13,121.4,122.52
dongfangsz02-dot-v2,331.96,9030.42,9777.53,261.66,244.5,240.64,238.86,231.49,225.06,224.98,226.16,212.84,218.44,216.31,939.08,2750.49,209.34,215.28,212.97,214.54,211.95,212.16,210.67,207.69,205.78,212.75,215.81,222.55,195.56,195.15,198.03
ft100-dot-v2,306.12,9019.33,9679.57,226.28,209.41,207.45,200.34,192.42,176.58,176.85,173.16,167.49,157.31,154.55,754.73,2648.93,135.07,135.26,136.32,138.57,131.85,129.13,126.91,124.82,122.02,128.37,128.6,130.21,119.06,117.78,118.7
ft11-dot-v2,181.5,9071.58,9607.55,234.15,210.29,209.13,201.49,194.2,179.12,178.27,175.01,169.42,159.49,156.82,1089.58,2677.76,138.01,137.67,139.52,141.33,135.65,134.03,131.52,129.34,125.46,132,132.85,132.97,124.99,123.04,123.22
gfsz01-dot-v2,253.5,9105.56,9609.52,253.47,229.42,224.06,216.67,208.12,189.66,190.76,186.86,178.75,171.85,166.86,1232.32,2723.71,149.64,149.3,150.02,151.13,145.9,143.12,139.93,138.71,135.45,145.16,147.72,144.06,132.09,131.51,131.53
guoxinsz03-dot-v2,211,9081.14,9566.36,240.77,218.16,215.67,209.14,201.07,185.65,186.15,182.99,176.57,168.33,166.2,999.34,2630.26,146.15,145.9,148.01,149.69,143.17,141.67,138.87,137.2,133.56,140.5,141.03,140.93,132,130.39,130.45
guoxinsz03-dot-v5,207.5,9084.55,9558.59,242.18,219.91,217.42,211.06,202.68,187.06,187.37,184.08,177.53,168.87,167.08,1068.81,2689.67,146.9,146.82,148.78,150.55,143.74,143.54,140.17,137.71,134.14,140.69,141.45,141.63,132,130.41,130.72
guoxinsz04-dot-v2,310.62,9014.67,9694.29,235.49,218.55,215.26,208.89,201.13,185.72,186.67,183.36,177.69,168.53,166.27,733.69,2660.38,146.34,146.53,148.2,150.03,142.87,141.52,139.09,137.19,134.25,140.81,141.16,142.71,130.23,129.54,130.28
guoxinsz04-dot-v5,308.21,9014.26,9716.13,236.53,221.29,216.77,210.16,202.25,186.15,187.73,184.19,178.13,169.1,166.96,703.88,2667.33,146.87,147.37,148.76,151.04,143.34,141.93,139.27,137.7,134.67,141.02,141.4,143.16,130.24,129.59,130.33
guoxinsz05-dot-v2,no data,no data,no data,no data,no data,no data,no data,196.88,183.08,187.01,181.98,175.65,168.08,164.75,3079.41,2685.21,145.49,145.48,147.52,149.33,142.72,141.24,138.3,136.83,133.37,139.81,140.07,140.06,132.48,129.36,130.32
guoxinsz05-dot-v5,no data,no data,no data,no data,no data,no data,no data,197.93,184.08,187.61,182.48,176.09,168.55,165.16,3080.48,2685.89,145.82,145.83,147.96,149.66,143.08,141.51,138.61,137.09,133.64,140.13,140.43,140.39,132.53,129.38,130.34
hb01-v16,274.72,9369.48,9923.92,225.35,205.88,202.1,197.42,190,173.68,176.19,171.64,165.88,156.36,153.72,465.88,2649.97,134.82,135.91,137.53,138.1,131.35,128.79,126.44,125.22,121.87,128.81,129.34,131.65,119.07,118.85,119.4
hb02-dot-v2,341.94,9102.52,10343.03,228.78,207.61,207.42,200.48,191.84,176.61,176.2,173.05,166.89,158.34,155.14,1600.85,2620.18,135.64,135.69,137.89,139.51,133.17,132.06,129.68,127.09,123.61,130.17,131.09,130.95,122.33,120.36,120.83
hb04-dot-v2,179,9130.46,10225.45,227.99,208.2,204.41,200.29,191.84,176.87,176.39,173.31,167.37,158.02,155.13,1222.68,2661.75,135.78,135.98,137.37,139.47,132.85,130.44,128.35,126.72,123.73,130.16,130.92,131.05,122.51,120.35,120.68
hb04-dot-v5,179,9146.06,10152.23,228.28,210.05,207.07,200.59,192.65,177.92,176.65,173.32,167.49,157.94,155.3,1299.76,2649.61,136.01,136.75,137.83,139.93,133.32,130.85,128.53,127.19,123.64,130.4,131.27,131.32,122.47,120.3,120.88
hb08-dot-v2,172.5,9012.76,9680.59,221.71,205.25,203,196.23,189.1,174.29,175.14,171.72,166.48,156.46,153.66,718.86,2652.52,134.46,134.61,136.36,138.47,131.78,129.44,127.64,125.75,122.94,128.84,129.25,130.81,120.25,119.23,120.21
hb09-dot-v2,172.5,9070.27,9565.41,227.55,204.86,203.43,196.95,189.42,174.1,174.48,171.47,165.92,156.23,153.37,1199.51,2663.16,134.37,134.57,136.05,138.33,131.59,129.34,127.39,125.36,122.81,128.95,129.21,130.69,120.34,119.2,120.13
hb09-dot-v5,172,9082.22,9577.76,229.79,206.95,205.27,198.3,190.71,175.33,175.47,172.4,166.49,156.98,154.07,1145.72,2666.28,135.08,135.1,136.53,138.56,132.98,131.84,129.1,126.34,122.89,129.3,129.57,129.78,122.13,120.21,120.51
hb09-dot-v5_xuxin,173,9076.25,9565.55,235.27,213.12,210.73,202.83,193.04,176.32,175.71,171.83,165.27,156.01,154.25,1153.66,2664.74,136.26,136.08,137.37,139.29,132.84,130.89,128.41,125.73,122.32,129.74,131.26,131.61,119.2,117.29,117.22
hbsz04-dot-v2,189,9074.94,9603.85,239.26,215.6,213.74,207,199.21,183.66,183.25,180.03,174.54,165.13,162.44,1074.79,2685.22,143.03,142.53,144.55,146.47,140.24,139.23,136.66,133.85,130.67,137.08,138.12,137.81,130.08,128.09,128.53
hbsz04-dot-v5,190,9079.24,9607.02,242.95,222.76,217.56,210.93,201.27,185.3,184.89,181.71,175.48,166.17,163.89,1078.27,2687.47,144.12,143.57,145.33,147.16,140.95,139.75,137.05,134.47,131.07,137.81,138.79,138.69,130.19,128.08,128.58
hbsz06-dot-v2,183,9068.52,9623.89,239.66,215.66,213.75,207.7,199.32,183.76,183.61,180.18,174.4,164.89,162.12,942.98,2653.57,142.54,142.46,144.48,145.93,140.47,137.8,135.5,133.87,130.63,137.15,138.03,137.73,130.61,127.7,128.36
hbsz07-dot-v2,181.5,9070.93,9605.89,236.72,213.18,211.94,205.67,198.06,182.87,182.58,179.5,173.93,164.3,161.76,1092.16,2679.39,142.54,142.07,144.02,145.92,140.44,138.86,136.42,133.86,130.43,136.67,137.37,137.31,129.89,127.99,128.24
hbsz08-dot-v2,182.5,9023.04,9680.92,229.56,212.95,211.1,205.01,197.93,182.58,182.59,179.54,174.45,164.21,161.58,757.45,2654.35,142.4,142.65,143.79,146.09,139.74,137.17,135.24,133.2,130.69,136.52,137.3,138.55,128.15,126.87,127.89
hbsz08-dot-v5,183,9022.37,9689.8,233.47,216.97,214.48,208.38,199.06,183.83,183.55,180.34,175.19,164.81,162.26,759.8,2655.49,142.9,143.14,144.26,146.76,140.38,137.54,135.64,133.85,130.99,136.98,138.34,138.99,128.18,127.04,127.92
