Source,09:30:00,09:31:00,09:32:00,09:33:00,09:34:00,09:35:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,13:00:00,13:01:00,13:02:00,13:03:00,13:04:00,13:05:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,14:57:00,14:58:00,14:59:00,15:00:00
depth01-dot-v2,314.05,9349.17,10827.89,230.05,210.2,207.02,200.1,192.05,183.23,181.72,176.93,169.34,163.42,163,1224.76,3091.16,139.49,139.36,139.92,141.78,134.14,132.09,128.81,128.49,126.69,131.66,131.2,135.57,132.77,no data,no data
dongfangsz02-dot-v2,338.1,9298.33,10232.89,263.18,246.54,241.66,238.04,233.26,228.03,225.35,224.6,212.67,216.42,216.02,917.13,3207.9,209.96,212.06,215.9,215.21,210.11,208.66,210.24,208.85,206.3,215.59,216.98,229.24,224.28,no data,no data
ft100-dot-v2,163.25,9274.84,10156,227.31,211.92,207.75,201.65,194.64,184.28,182.44,175.99,167.76,161.67,161.26,731.49,3084.32,136.08,136.16,136.5,138.19,130.92,129.22,125.95,125.74,123.8,128.69,128.18,132.16,129.37,no data,no data
ft11-dot-v2,179.27,9317.97,10103.44,234.12,212.61,209.49,202.89,196.3,187.04,183.85,178.01,170.46,163.84,163.25,1069.8,3103.24,139.05,138.84,139.75,141.12,134.02,132.7,129.62,130.14,127.16,132.53,132.78,136.03,132.74,no data,no data
gfsz01-dot-v2,248.35,9342.87,10106.75,253.29,231.67,224.57,218.15,210.48,197.28,196.33,190.19,179.48,175.77,173.36,1211.37,3153.56,150.45,150.28,150.27,150.84,144.84,142.81,138.92,139.38,137.11,145.16,146.45,147.84,142.23,no data,no data
guoxinsz03-dot-v2,208.79,9332.54,10058.62,240.91,220.63,216.05,210.18,203.46,193.39,191.58,186.13,177.56,172.4,172.34,972.23,3110.2,147.07,146.93,148.23,149.36,142.01,141.47,137.82,137.73,135.36,141.18,140.48,144.19,141.71,no data,no data
guoxinsz03-dot-v5,205.33,9335.41,10050.61,242.2,222.34,217.74,212.09,205.04,194.86,192.67,187.12,178.42,173.13,173.22,1046.14,3113.04,147.84,147.72,149.03,150.17,142.63,141.97,138.4,138.25,135.79,141.31,140.95,144.84,142.19,no data,no data
guoxinsz04-dot-v2,317.59,9270.85,10169.22,236.35,221.12,215.58,210.04,203.56,193.34,192.09,186.06,177.73,172.71,172.78,715.97,3093.92,147.24,147.06,148.19,149.63,142.23,141.45,138.06,137.94,136.05,141.23,140.66,144.63,142.11,no data,no data
guoxinsz04-dot-v5,315.29,9270.96,10187.2,237.4,223.49,217,211.35,204.64,194.14,193.01,186.87,178.19,173.28,173.59,695.69,3098.34,147.87,147.85,149.19,150.13,142.78,141.88,138.49,138.38,136.4,141.36,141.02,145.23,142.91,no data,no data
guoxinsz05-dot-v2,no data,no data,no data,no data,no data,no data,no data,200.1,190,191.82,184.59,176.22,172.88,172.57,3058.28,3108.53,146.41,146.33,147.66,148.91,141.52,140.99,137.32,137.24,135.02,140.22,139.41,143.27,140.74,no data,no data
guoxinsz05-dot-v5,no data,no data,no data,no data,no data,no data,no data,201.06,191,192.43,185.08,176.6,173.35,172.93,3059.4,3109.23,146.72,146.64,148.15,149.25,141.87,141.27,137.58,137.48,135.28,140.53,139.78,143.66,141.04,no data,no data
hb01-v16,282.63,10000.53,10369.01,225.73,207.18,201.65,198.57,192.19,182.96,181.21,175.8,167.82,162.28,161.98,466.95,3158.39,134.97,135.27,136.29,137.63,130.37,128.86,125.93,125.81,123.77,129.07,128.08,131.91,129.6,no data,no data
hb02-dot-v2,335.89,9350.43,10830.07,229.34,209.77,207.7,201.63,194.13,184.42,181.53,176.19,168.6,162.12,161.28,1572.19,3100.41,136.66,136.87,138.03,139.39,132.02,130.73,127.72,127.7,125.24,130.81,130.93,134.48,131.85,no data,no data
