"账户名称","账户ID","买入计划","买交易额","买入比例","卖出计划","卖交易额","卖出比例","总比例","多空暴露","撤单率","错废单率"
"test_pt","37010363","291055","291055","1","2649851.630397939","2631879","0.9932174955790865","0.9938887449835471","-0.8008473677476124","0.46153846153846156","0.3230769230769231"
"test01","37016752","1975233.9748768471","774023.14","0.39186402717088703","0","0","0","0.39186402717088703","1","0","0.48484848484848486"
"test02","37017250","5294930.5","2007736.5","0.37918089765295315","0","0","0","0.37918089765295315","1","0.14285714285714285","0.14285714285714285"
"test_xy","928090596","1146481.8075471697","912201.84","0.7956531311662084","0","0","0","0.7956531311662084","1","0","0"
