"篮子名称","账户名称","账户ID","买入计划","买交易额","买入比例","卖出计划","卖交易额","卖出比例","总比例","多空暴露","撤单率","错废单率"
"默认篮子","test_pt","37010363","291055","291055","1","0","0","0","1","1","0","0"
"bb","test_pt","37010363","0","0","0","2649851.630397939","2631879","0.9932174955790865","0.9932174955790865","-1","0.4838709677419355","0.3387096774193548"
"默认篮子","test01","37016752","1034593.1034482758","553904","0.5353834257679181","0","0","0","0.5353834257679181","1","0","0.64"
"北大","test01","37016752","940640.8714285714","220119.14","0.23400975514247044","0","0","0","0.23400975514247044","1","0","0"
"北大","test02","37017250","5294930.5","2007736.5","0.37918089765295315","0","0","0","0.37918089765295315","1","0.14285714285714285","0.14285714285714285"
"默认篮子","test_xy","928090596","1146481.8075471697","912201.84","0.7956531311662084","0","0","0","0.7956531311662084","1","0","0"
